datetime,service_date,route_id,route_name,trip_id,direction_id,direction_name,stop_id,stop_name,stop_sequence,vehicle_id,scheduled_arrival,actual_arrival,delay_min,headway_min,passengers_waiting,passengers_boarded,passengers_alighted,passengers_onboard,capacity,occupancy_rate,crowding_level,dwell_time_sec,door_open_count,wheelchair_boardings,bike_boardings,lat,lon,weather_conditions,weather_hour,peak,trip_start_time,trip_end_time,trip_vehicle_id,vehicle_model,vehicle_capacity,vehicle_wheelchair_capacity,vehicle_bike_rack,stop_zone,route_long_name,route_length_km,route_color,weather_temp_c,weather_precip_mm,weather_hourly_conditions
2025-10-20 05:59:03,2025-10-20,C,Route C - Airport Connector,C-0-20251020-01,0,Outbound,C01,C-Stop 1,1,C03,2025-10-20 06:00:00,2025-10-20 05:59:03,-0.94,120,3,2,0,2,50,0.04,Low,28,1,0,0,42.460409,-76.46027,Cloudy,2025-10-20 05:00:00,Peak,06:00:00,07:00:00,C03,Proterra ZX5,50,2,True,Urban,Route C - Airport Connector,25.4,#2ca02c,8.6,0.36,Cloudy
2025-10-20 05:59:23,2025-10-20,C,Route C - Airport Connector,C-1-20251020-01,1,Inbound,C10,C-Stop 10,1,C04,2025-10-20 06:00:00,2025-10-20 05:59:23,-0.6,120,4,1,1,0,40,0.0,Low,36,1,0,0,42.477946,-76.432817,Cloudy,2025-10-20 05:00:00,Peak,06:00:00,07:00:00,C04,Gillig Low Floor,40,2,True,Suburban,Route C - Airport Connector,25.4,#2ca02c,8.6,0.36,Cloudy
2025-10-20 06:00:11,2025-10-20,B,Route B - University Express,B-0-20251020-01,0,Outbound,B01,B-Stop 1,1,B02,2025-10-20 06:00:00,2025-10-20 06:00:11,0.18,120,5,2,0,2,40,0.05,Low,29,1,0,0,42.44987,-76.479838,Cloudy,2025-10-20 06:00:00,Peak,06:00:00,07:00:00,B02,New Flyer Xcelsior,40,3,True,Urban,Route B - University Express,18.7,#ff7f0e,10.0,0.36,Cloudy
2025-10-20 06:00:17,2025-10-20,B,Route B - University Express,B-1-20251020-01,1,Inbound,B10,B-Stop 10,1,B04,2025-10-20 06:00:00,2025-10-20 06:00:17,0.28,120,0,0,0,0,36,0.0,Low,15,0,0,0,42.467283,-76.452838,Cloudy,2025-10-20 06:00:00,Peak,06:00:00,07:00:00,B04,Proterra ZX5,36,3,True,Suburban,Route B - University Express,18.7,#ff7f0e,10.0,0.36,Cloudy
2025-10-20 06:00:21,2025-10-20,A,Route A - Downtown Loop,A-0-20251020-01,0,Outbound,A01,A-Stop 1,1,A03,2025-10-20 06:00:00,2025-10-20 06:00:21,0.35,120,2,0,0,0,50,0.0,Low,15,1,0,0,42.440642,-76.50008,Cloudy,2025-10-20 06:00:00,Peak,06:00:00,07:00:00,A03,Gillig Low Floor,50,2,True,Urban,Route A - Downtown Loop,12.3,#1f77b4,10.0,0.36,Cloudy
2025-10-20 06:00:34,2025-10-20,A,Route A - Downtown Loop,A-1-20251020-01,1,Inbound,A10,A-Stop 10,1,A04,2025-10-20 06:00:00,2025-10-20 06:00:34,0.58,120,7,2,0,2,36,0.06,Low,22,1,0,0,42.457558,-76.473258,Cloudy,2025-10-20 06:00:00,Peak,06:00:00,07:00:00,A04,Proterra ZX5,36,2,True,Suburban,Route A - Downtown Loop,12.3,#1f77b4,10.0,0.36,Cloudy
2025-10-20 06:04:17,2025-10-20,B,Route B - University Express,B-1-20251020-01,1,Inbound,B09,B-Stop 9,2,B04,2025-10-20 06:04:47,2025-10-20 06:04:17,-0.5,120,0,0,3,0,36,0.0,Low,34,1,0,0,42.465971,-76.456708,Cloudy,2025-10-20 06:00:00,Peak,06:00:00,07:00:00,B04,Proterra ZX5,36,3,True,Suburban,Route B - University Express,18.7,#ff7f0e,10.0,0.36,Cloudy
2025-10-20 06:04:17,2025-10-20,B,Route B - University Express,B-0-20251020-01,0,Outbound,B02,B-Stop 2,2,B02,2025-10-20 06:04:18,2025-10-20 06:04:17,-0.02,120,0,0,3,0,40,0.0,Low,22,1,0,0,42.45209,-76.477437,Cloudy,2025-10-20 06:00:00,Peak,06:00:00,07:00:00,B02,New Flyer Xcelsior,40,3,True,Urban,Route B - University Express,18.7,#ff7f0e,10.0,0.36,Cloudy
2025-10-20 06:04:26,2025-10-20,C,Route C - Airport Connector,C-0-20251020-01,0,Outbound,C02,C-Stop 2,2,C03,2025-10-20 06:04:41,2025-10-20 06:04:26,-0.26,120,1,1,1,2,50,0.04,Low,23,1,0,0,42.461565,-76.456963,Cloudy,2025-10-20 06:00:00,Peak,06:00:00,07:00:00,C03,Proterra ZX5,50,2,True,Urban,Route C - Airport Connector,25.4,#2ca02c,10.0,0.36,Cloudy
2025-10-20 06:04:54,2025-10-20,A,Route A - Downtown Loop,A-1-20251020-01,1,Inbound,A09,A-Stop 9,2,A04,2025-10-20 06:04:39,2025-10-20 06:04:54,0.24,120,2,2,2,2,36,0.06,Low,31,1,0,0,42.455594,-76.47596,Cloudy,2025-10-20 06:00:00,Peak,06:00:00,07:00:00,A04,Proterra ZX5,36,2,True,Suburban,Route A - Downtown Loop,12.3,#1f77b4,10.0,0.36,Cloudy
